2019 Salary,Age,Age squared,W-L%,ERA,IP,H9,HR9,BB9,SO9,SP,RP,AL,NL,Left Handed,Right Handed,Ln 2019 Salary
2625000,27,729,0.313,3.97,154,7.8,1.5,3.4,8.9,1,0,0,1,1,0,14.78059145
900000,28,784,0.8,3.2,25.1,7.5,1.4,1.8,12.8,0,1,1,0,0,1,13.71015004
4100000,24,576,0.625,3.86,128.1,7,0.8,3.5,10,1,0,1,0,0,1,15.22649753
1450000,29,841,0.5,2,72,8,0.5,2.8,5.3,0,1,0,1,1,0,14.18707411
9166666,31,961,0.333,6.49,51.1,10.3,1.8,2.8,8.2,0,1,0,1,1,0,16.0310842
5800000,31,961,0.75,1.99,72.1,5.6,0.7,2.6,11.7,1,0,1,0,0,1,15.57336848
19000000,33,1089,0.2,3.23,39,11.1,0.5,3.2,7.2,0,1,0,1,0,1,16.75994954
8000000,29,841,0.818,2.83,200.2,8.3,0.7,1.3,6.5,1,0,0,1,0,1,15.8949521
9833333,30,900,0.6,4.18,157,7.9,1.4,2.2,7.6,1,0,1,0,1,0,16.1012885
2440000,28,784,0.455,3.99,124,9.5,0.7,2.8,6.2,0,1,0,1,1,0,14.7075086
1100000,28,784,0,3.83,49.1,8.9,0.9,4,9.1,0,1,0,1,1,0,13.91082074
10500000,33,1089,,1.47,30.2,7,0.6,2.6,9.1,0,1,0,1,0,1,16.16688582
1800000,29,841,0.25,5.1,47.2,8.7,2.1,3,14.3,0,1,0,1,0,1,14.40329722
8125000,37,1369,0.6,2.59,24.1,8.5,0.7,1.8,5.5,0,1,0,1,0,1,15.91045629
5562500,25,625,0.739,2.37,212.1,6.3,0.7,2.5,9.5,1,0,0,1,0,1,15.53155821
1275000,25,625,0,5.68,44.1,9.3,1.6,3.9,10.4,1,0,1,0,1,0,14.05845674
1300000,28,784,0.889,2.45,58.2,6.9,0.6,1.8,8.7,0,1,0,1,0,1,14.07787482
9500000,28,784,0.412,4.49,164.1,8.3,1.1,3.8,8.9,1,0,1,0,0,1,16.06680236
